date,name,price
6/30/2022,Hood: Outlaws & Legends	,19.99
6/24/2022,Car Mechanic Simulator 2018	,15.99
6/21/2022,Fall Guys	,19.99
6/9/2022,Maneater	,36.99
6/2/2022,Wolfenstein: The New Order	,19.99
5/26/2022,BioShock: The Collection	,59.99
5/19/2022,Volcanic Assassin Quest Pack	,59.99
5/13/2022,Redout: Enhanced Edition	,7.99
5/13/2022,Jotun: Valhalla Edition	,14.99
5/6/2022,Terraforming Mars	,19.99
4/28/2022,Paradigm	,11.99
4/28/2022,Just Die Already	,13.99
4/21/2022,Amnesia: Rebirth	,24.99
4/21/2022,Riverbond	,19.99
4/14/2022,Insurmountable	,19.99
4/8/2022,Rogue Legacy	,11.99
4/1/2022,City of Brass	,15.99
3/17/2022,In Sound Mind	,34.99
3/3/2022,Epic Slayer Kit	,9.99
3/3/2022,Centipede: Recharged	,8.99
3/3/2022,Black Widow: Recharged	,8.99
2/24/2022,Cris Tales	,39.99
2/10/2022,Windbound	,19.99
1/27/2022,DAEMON X MACHINA	,49.99
1/21/2022,Relicta	,19.99
1/7/2022,Gods Will Fall	,24.99
12/30/2021,Shadow of the Tomb Raider: Definitive Edition	,39.99
12/30/2021,Rise of the Tomb Raider: 20 Year Celebration	,29.99
12/30/2021,Tomb Raider GAME OF THE YEAR EDITION	,19.99
12/29/2021,Salt and Sanctuary	,13.99
12/28/2021,Moving Out	,22.99
12/27/2021,Mages of Mystralia	,15.99
12/25/2021,Prey	,39.99
12/23/2021,Vampyr	,39.99
12/22/2021,Mutant Year Zero: Road to Eden	,34.99
12/20/2021,Loop Hero	,14.99
12/19/2021,The Vanishing of Ethan Carter	,19.99
12/18/2021,Remnant: From the Ashes	,39.99
12/17/2021,Neon Abyss	,19.99
12/10/2021,Prison Architect	,24.99
12/10/2021,Godfall Challenger Edition	,14.99
12/2/2021,Dead by Daylight	,19.99
11/29/2021,Antstream Arcade	,19.99
11/18/2021,KID A MNESIA EXHIBITION	,11.99
11/17/2021,Rogue Company Season Four Epic Pack	,31.99
11/10/2021,Aven Colony	,29.99
10/28/2021,DARQ: Complete Edition	,16.76
10/14/2021,Stubbs the Zombie in Rebel Without a Pulse	,15.99
10/14/2021,Paladins Epic Pack	,34.99
10/8/2021,Paladins	,15.99
10/3/2021,Europa Universalis IV	,31.99
9/23/2021,The Escapists	,14.99
9/17/2021,Tharsis	,11.99
9/17/2021,Speed Brawl	,16.79
9/10/2021,Sheltered	,14.99
9/10/2021,Nioh: The Complete Edition	,49.99
9/3/2021,Watch Dogs: Legion Free Trial Weekend	,19.99
8/27/2021,Automachef	,14.99
8/25/2021,Void Bastards	,27.99
8/13/2021,Rebel Galaxy	,15.99
8/9/2021,A Plague Tale: Innocence	,39.99
8/9/2021,Minit	,9.99
7/29/2021,Mothergunship	,23.99
7/15/2021,Offworld Trading Company	,29.99
7/15/2021,Obduction	,23.99
7/10/2021,Ironcast	,12.99
7/10/2021,Bridge Constructor: The Walking Dead	,9.99
7/1/2021,The Spectrum Retreat	,12.99
6/25/2021,Horizon Chase Turbo	,15.99
6/25/2021,Sonic Mania	,19.99
6/18/2021,Hell is other demons	,7.99
6/10/2021,Discord Nitro	,31.99
5/21/2021,NBA 2K21	,59.99
5/8/2021,Pine	,20.99
4/19/2021,Deponia: The Complete Journey	,29.99
4/19/2021,The First Tree	,9.99
3/21/2021,The Fall	,7.99
3/11/2021,Surviving Mars	,29.99
2/27/2021,Sunless Sea	,14.49
2/19/2021,RAGE 2	,59.99
2/19/2021,Absolute Drift	,9.99
2/12/2021,Halcyon 6 Starbase Commander	,14.99
2/9/2021,Spellbreak	,19.99
2/4/2021,For The King	,19.99
1/21/2021,Galactic Civilizations III	,33.99
1/14/2021,SLUDGE LIFE	,11.99
1/14/2021,Trackmania Starter Access	,39.99
1/13/2021,Crying Suns Demo	,21.99
12/31/2020,Jurassic World Evolution	,44.99
12/30/2020,Torchlight II	,18.99
12/30/2020,Auto Chess	,7.99
12/28/2020,Stranded Deep	,14.99
12/24/2020,INSIDE	,15.99
12/23/2020,Tropico 5	,19.99
12/22/2020,Alien: Isolation	,36.99
12/20/2020,Defense Grid: The Awakening	,7.99
12/19/2020,The Long Dark	,24.99
12/17/2020,Cities: Skylines	,24.99
12/14/2020,Warframe	,39.99
11/27/2020,MudRunner	,24.99
10/31/2020,Ghostbusters: The Video Game Remastered	,20.99
10/19/2020,Rogue Company	,14.99
10/19/2020,Amnesia: A Machine for Pigs	,15.99
9/29/2020,RollerCoaster Tycoon 3 Complete Edition	,19.99
8/16/2020,The Alto Collection	,7.99
7/28/2020,Tacoma	,16.99
7/28/2020,Next Up Hero	,19.99
5/15/2020,Grand Theft Auto V: Premium Edition	,29.99
1/24/2019,The Jackbox Party Pack	,22.99
